date,word,counter
2019_04_05,bitch,2
2019_04_05,slut,0
2019_04_05,whore,0
2021_01_01,bitch,3
2021_01_01,slut,0
2021_01_01,whore,0
2021_01_27,bitch,1
2021_01_27,slut,0
2021_01_27,whore,0
2021_02_02,bitch,2
2021_02_02,slut,0
2021_02_02,whore,0
2021_02_12,bitch,0
2021_02_12,slut,2
2021_02_12,whore,0
2021_02_21,bitch,1
2021_02_21,slut,0
2021_02_21,whore,0
2021_03_26,bitch,2
2021_03_26,slut,0
2021_03_26,whore,0
2021_04_10,bitch,1
2021_04_10,slut,0
2021_04_10,whore,0
2021_04_20,bitch,1
2021_04_20,slut,0
2021_04_20,whore,0
2021_05_12,bitch,1
2021_05_12,slut,0
2021_05_12,whore,0
2021_05_14,bitch,1
2021_05_14,slut,0
2021_05_14,whore,0
2021_05_28,bitch,0
2021_05_28,slut,1
2021_05_28,whore,0
2021_05_31,bitch,1
2021_05_31,slut,0
2021_05_31,whore,0
2021_06_19,bitch,2
2021_06_19,slut,0
2021_06_19,whore,0
2021_06_24,bitch,0
2021_06_24,slut,1
2021_06_24,whore,0
2021_07_12,bitch,1
2021_07_12,slut,0
2021_07_12,whore,0
2021_07_16,bitch,0
2021_07_16,slut,1
2021_07_16,whore,0
2021_07_26,bitch,1
2021_07_26,slut,0
2021_07_26,whore,0
2021_08_06,bitch,4
2021_08_06,slut,0
2021_08_06,whore,0
2021_08_22,bitch,1
2021_08_22,slut,0
2021_08_22,whore,0
2021_10_31,bitch,3
2021_10_31,slut,0
2021_10_31,whore,0
2021_11_04,bitch,2
2021_11_04,slut,0
2021_11_04,whore,0
2021_11_05,bitch,2
2021_11_05,slut,0
2021_11_05,whore,0
2021_11_24,bitch,1
2021_11_24,slut,0
2021_11_24,whore,0
